input,output,instruction
Café da manhã ,"Pão, quero comer pão, 🍞
Fruta, quero comer fruta, 🍎
Iogurte, quero beber iogurte, 🥛
Suco, quero beber suco, 🧃
Panqueca, quero comer panqueca, 🥞",
Almoço pernambucano,"Arroz de Carne de Sol, eu quero comer arroz de carne de sol, 🍚
Feijão Verde, eu quero feijão verde, 🥘
Cuscuz, eu gostaria de cuscuz, 🍲
Bolinhos de Macaxeira, eu quero bolinhos de macaxeira, 🥟
Peixada, eu gostaria de peixada, 🐟",
Almoço,"Feijão Verde, eu quero feijão verde, 🥘
Arroz, eu quero arroz, 🍚
Feijão, eu quero feijão, 🥘
Frango, eu gostaria de frango, 🍗
Salada, eu quero salada, 🥗
Carne, eu quero carne, 🥩",
Higiene Pessoal,"Escovar os Dentes, eu quero escovar os dentes, 🪥
Tomar Banho, eu preciso tomar banho, 🚿
Lavar as Mãos, eu quero lavar as mãos, 🧼
Usar Desodorante, eu preciso usar desodorante, 🧴
Pentear o Cabelo, eu quero pentear o cabelo, 💇",
Caminhar,"Dar uma Caminhada, eu quero dar uma caminhada, 🚶
Passear no Parque, eu gostaria de passear no parque, 🌳
Caminhar na Rua, eu quero caminhar na rua, 🏙️
Explorar Novos Lugares, eu quero explorar novos lugares, 🗺️
Caminhar com Amigos, eu gostaria de caminhar com amigos, 👫",
Descansar,"Descansar, eu quero descansar, 😌
Relaxar, eu preciso relaxar, 🛋️
Fazer uma Sesta, eu gostaria de fazer uma sesta, 💤
Assistir TV, eu quero assistir TV, 📺
Ler um Livro, eu gostaria de ler um livro, 📖",
Escola,"Ir para a Escola, eu vou para a escola, 🏫
Fazer a Lição de Casa, eu preciso fazer a lição de casa, 📚
Participar das Aulas, eu quero participar das aulas, 📝
Estudar para a Prova, eu preciso estudar para a prova, 📖
Conversar com os Colegas, eu quero conversar com os colegas, 🗣️",
Querer,"Quero Comer, eu gostaria de comer, 🍽️
Quero Beber, eu quero beber algo, 🍹
Quero Viajar, eu gostaria de viajar, ✈️
Quero Brincar, eu quero brincar, 🎲
Quero Descansar, eu preciso descansar, 🛌",
Médico,"Marcar Consulta, eu preciso marcar uma consulta, 📅
Tomar Medicamento, eu quero tomar o medicamento, 💊
Fazer Exames, eu preciso fazer exames, 🩺
Consultar Sobre Sintomas, eu quero consultar sobre meus sintomas, 🤕
Receber Receituário, eu preciso receber o receituário, 📝",
Parque,"Brincar no Parquinho, eu quero brincar no parquinho, 🛝
Fazer um Piquenique, eu gostaria de fazer um piquenique, 🧺
Andar de Bicicleta, eu quero andar de bicicleta, 🚴
Observar as Áreas de Lazer, eu quero observar as áreas de lazer, 👀
Relaxar no Gramado, eu gostaria de relaxar no gramado, 🌿",
Mercado,"Comprar Alimentos, eu quero comprar alimentos, 🛒
Procurar Ofertas, eu gostaria de procurar ofertas, 🏷️
Pagar as Compras, eu preciso pagar as compras, 💳
Escolher Frutas, eu quero escolher frutas, 🍎
Encontrar Produtos, eu preciso encontrar produtos, 📦",
Restaurante,"Fazer um Pedido, eu gostaria de fazer um pedido, 📋
Escolher o Prato, eu quero escolher o prato, 🍽️
Pedir a Conta, eu preciso pedir a conta, 💵
Reservar Mesa, eu quero reservar uma mesa, 🪑
Perguntar Sobre o Cardápio, eu gostaria de perguntar sobre o cardápio, 📜",
Calor,"Procurar Sombra, eu quero procurar sombra, 🌳
Beber Água, eu preciso beber água, 💧
Usar Ventilador, eu quero usar o ventilador, 🌬️
Ligar o Ar Condicionado, eu gostaria de ligar o ar condicionado, ❄️
Vestir Roupas Leves, eu preciso vestir roupas leves, 👕",
Sair,"Ir ao Supermercado, eu quero ir ao supermercado, 🛒
Visitar um Amigo, eu gostaria de visitar um amigo, 🏠
Passear na Cidade, eu quero passear na cidade, 🏙️
Ir ao Centro Comercial, eu quero ir ao centro comercial, 🛍️
Participar de um Evento, eu gostaria de participar de um evento, 🎉",
Cansado,"Descansar um Pouco, eu preciso descansar um pouco, 😌
Sentar para Relaxar, eu quero sentar para relaxar, 🪑
Fazer uma Pausa, eu preciso fazer uma pausa, ⏸️
Ir para Casa, eu gostaria de ir para casa, 🏡
Deitar para Descansar, eu quero deitar para descansar, 🛏️",
Sede,"Beber Água, eu preciso beber água, 💧
Pedir uma Bebida, eu gostaria de pedir uma bebida, 🍹
Procurar uma Fonte, eu quero procurar uma fonte, 🚰
Comprar uma Garrafa de Água, eu quero comprar uma garrafa de água, 🍼
Tomar Suco, eu gostaria de tomar suco, 🥤",
Ajuda,"Preciso de Ajuda, eu preciso de ajuda, 🤲
Me Dê uma Mão, eu gostaria que você me ajudasse, 🖐️
Ajudar com a Tarefa, eu preciso de ajuda com a tarefa, 📝
Encontre Alguém para Ajudar, eu quero encontrar alguém para ajudar, 🔍
Ajuda Imediata, eu preciso de ajuda imediata, 🚨",
Dor,"Sinto Dor, eu estou sentindo dor, 😣
Preciso de Analgésico, eu preciso de um analgésico, 💊
Consultar um Médico, eu quero consultar um médico, 🩺
Pedir Ajuda para a Dor, eu preciso de ajuda para a dor, 🆘
Descrever a Dor, eu preciso descrever a dor, 📋",
Banheiro,"Ir ao Banheiro, eu preciso ir ao banheiro, 🚻
Pedir para Usar o Banheiro, eu gostaria de usar o banheiro, 🚽
Lavar as Mãos, eu quero lavar as mãos, 🧼
Buscar Papel Higiênico, eu preciso de papel higiênico, 🧻
Desinfetar as Mãos, eu quero desinfetar as mãos, 🧴",
